i,sums
#### 16 ####,#### 16 ####
1.0,5.4130381741672755
2.0,4.832933106497497
3.0,4.616686251581903
4.0,4.509004704346839
5.0,4.443223899116131
6.0,4.39775595080351
7.0,4.3644311445618476
8.0,4.339480851422293
9.0,4.320759600657637
10.0,4.30681916522891
11.0,4.296567708640697
12.0,4.2891398146319055
13.0,4.283844156967653
14.0,4.280135196033855
15.0,4.277590247751675
16.0,4.275887583597894
17.0,4.274786124591285
18.0,4.274107679454689
19.0,4.273722138211618
20.0,4.273535567636116
21.0,4.273480896469706
22.0,4.273510776902449
23.0,4.273592201641659
24.0,4.273702496589469
25.0,4.273826368560159
26.0,4.273953749222167
27.0,4.274078232522631
28.0,4.274195950168288
29.0,4.274304767886441
30.0,4.274403715026079
31.0,4.274492582901689
32.0,4.274571644502392
33.0,4.274641461023609
34.0,4.2747027501621755
35.0,4.2747562980766585
36.0,4.274802901997051
37.0,4.274843334162311
38.0,4.274878320439782
39.0,4.274908528911621
40.0,4.274934565102427
41.0,4.274956971518441
42.0,4.274976229880298
43.0,4.274992764937693
44.0,4.275006949113113
45.0,4.275019107474384
46.0,4.275029522712532
47.0,4.275038439924066
48.0,4.275046071080801
49.0,4.275052599127254
50.0,4.275058181683199
51.0,4.275062954353318
52.0,4.275067033660783
53.0,4.275070519630264
54.0,4.275073498050196
55.0,4.275076042445597
56.0,4.275078215792452
57.0,4.275080072003197
58.0,4.275081657210823
59.0,4.275083010876656
60.0,4.275084166744478
61.0,4.275085153661166
62.0,4.275085996281649
63.0,4.275086715673962
64.0,4.275087329838088
65.0,4.275087854150561
66.0,4.275088301745252
67.0,4.2750886838393
68.0,4.275089010011993
69.0,4.275089288443318
70.0,4.275089526117907
71.0,4.275089728999398
72.0,4.275089902179448
73.0,4.275090050005054
74.0,4.2750901761873354
75.0,4.275090283894464
76.0,4.275090375831028
77.0,4.275090454305819
78.0,4.275090521289715
79.0,4.275090578465123
80.0,4.2750906272681695
#### 8 ####,#### 8 ####
82.0,4.5129939134663895
83.0,4.510624912983228
84.0,4.509863961170788
85.0,4.5093515164228
86.0,4.508964019424416
87.0,4.508660018515773
88.0,4.508416542438458
89.0,4.508218767777413
90.0,4.508056421445238
91.0,4.507922040652129
92.0,4.50781003786801
93.0,4.507716136851819
94.0,4.507637009956919
95.0,4.507570033021842
96.0,4.5075131136767626
97.0,4.5074645677350045
98.0,4.507423028303316
99.0,4.5073873778519316
100.0,4.507356696730659
101.0,4.5073302236554476
102.0,4.507307325040903
103.0,4.507287470975366
104.0,4.507270216258969
105.0,4.507255185343998
106.0,4.507242060305064
107.0,4.507230571171235
108.0,4.507220488104687
109.0,4.5072116150269945
110.0,4.5072037843854424
111.0,4.507196852822476
112.0,4.507190697566226
113.0,4.5071852134021295
114.0,4.507180310117441
115.0,4.50717591033442
116.0,4.507171947666103
117.0,4.50716836514193
118.0,4.507165113860926
119.0,4.507162151837842
120.0,4.507159443013603
121.0,4.507156956406381
122.0,4.507154665383082
123.0,4.507152547034255
124.0,4.5071505816379425
125.0,4.507148752199918
126.0,4.507147044059698
127.0,4.507145444553054
128.0,4.507143942723135
129.0,4.5071425290733025
130.0,4.507141195355794
131.0,4.50713993439112
132.0,4.507138739913852
133.0,4.507137606440904
134.0,4.50713652915918
135.0,4.507135503829757
136.0,4.507134526706143
137.0,4.50713359446463
138.0,4.507132704144956
139.0,4.507131853099686
140.0,4.507131038951172
141.0,4.5071302595548035
142.0,4.507129512967751
143.0,4.507128797422306
144.0,4.507128111303157
145.0,4.507127453128021
146.0,4.507126821531094
147.0,4.507126215248951
148.0,4.507125633108486
149.0,4.507125074016566
150.0,4.507124536951215
151.0,4.507124020954021
152.0,4.507123525123613
153.0,4.507123048610058
154.0,4.507122590610008
155.0,4.507122150362522
156.0,4.507121727145417
157.0,4.507121320272104
158.0,4.507120929088829
159.0,4.507120552972247
160.0,4.507120191327279
161.0,4.507119843585234
162.0,4.507119509202118
163.0,4.507119187657144
164.0,4.5071188784514
165.0,4.50711858110661
166.0,4.507118295164055
167.0,4.507118020183584
168.0,4.507117755742661
169.0,4.507117501435573
170.0,4.5071172568726
171.0,4.507117021679338
172.0,4.507116795495997
173.0,4.507116577976791
174.0,4.50711636878933
175.0,4.507116167614081
176.0,4.507115974143837
177.0,4.507115788083204
178.0,4.5071156091481495
179.0,4.507115437065556
180.0,4.507115271572761
181.0,4.507115112417191
182.0,4.507114959355933
183.0,4.5071148121554
184.0,4.507114670590923
185.0,4.507114534446461
186.0,4.507114403514228
187.0,4.507114277594408
188.0,4.507114156494824
189.0,4.507114040030674
190.0,4.507113928024231
191.0,4.507113820304576
192.0,4.50711371670734
193.0,4.507113617074473
194.0,4.507113521253957
195.0,4.507113429099629
196.0,4.507113340470912
197.0,4.507113255232642
198.0,4.507113173254834
199.0,4.507113094412491
200.0,4.507113018585416
201.0,4.507112945658022
202.0,4.507112875519169
203.0,4.507112808061976
204.0,4.50711274318367
205.0,4.507112680785427
206.0,4.507112620772223
207.0,4.5071125630526625
208.0,4.507112507538889
209.0,4.507112454146401
210.0,4.507112402793948
211.0,4.507112353403403
212.0,4.507112305899639
213.0,4.5071122602104
#### 4 ####,#### 4 ####
215.0,4.572377793621751
216.0,4.572133347395148
217.0,4.572090380209148
218.0,4.572064148091141
219.0,4.572043383263096
220.0,4.572025617496291
221.0,4.572009907310643
222.0,4.571995769262961
223.0,4.5719829076950775
224.0,4.5719711202727265
225.0,4.5719602580286685
226.0,4.571950205680796
227.0,4.571940870814747
228.0,4.571932177403161
229.0,4.571924061656796
230.0,4.571916469223533
231.0,4.5719093532156405
232.0,4.571902672771834
233.0,4.571896391979213
234.0,4.571890479045705
235.0,4.571884905652222
236.0,4.571879646436865
237.0,4.5718746785781965
238.0,4.571869981454497
239.0,4.571865536361768
240.0,4.571861326278284
241.0,4.571857335666262
242.0,4.5718535503033415
243.0,4.571849957138569
244.0,4.571846544168407
245.0,4.571843300329375
246.0,4.571840215404694
247.0,4.571837279942536
248.0,4.571834485184181
249.0,4.571831823000735
250.0,4.571829285836922
251.0,4.571826866661227
252.0,4.5718245589212785
253.0,4.571822356504035
254.0,4.571820253699964
255.0,4.57181824517073
256.0,4.571816325920231
257.0,4.57181449126813
258.0,4.571812736826032
259.0,4.5718110584756735
260.0,4.571809452349239
261.0,4.571807914811196
262.0,4.571806442441853
263.0,4.571805032022153
264.0,4.571803680519833
265.0,4.571802385076677
266.0,4.571801142996749
267.0,4.571799951735612
268.0,4.571798808890304
269.0,4.571797712190207
270.0,4.571796659488434
271.0,4.571795648754029
272.0,4.5717946780646255
273.0,4.571793745599671
274.0,4.571792849634145
275.0,4.571791988532754
276.0,4.571791160744465
277.0,4.5717903647974545
278.0,4.571789599294412
279.0,4.571788862908194
280.0,4.571788154377716
281.0,4.57178747250407
282.0,4.571786816147117
283.0,4.571786184222009
284.0,4.571785575696194
285.0,4.571784989586423
286.0,4.57178442495612
287.0,4.571783880912736
288.0,4.571783356605447
289.0,4.571782851222861
290.0,4.571782363990951
291.0,4.571781894171062
292.0,4.571781441058086
293.0,4.571781003978674
294.0,4.571780582289691
295.0,4.571780175376572
296.0,4.571779782651973
297.0,4.571779403554325
298.0,4.571779037546619
299.0,4.571778684115154
300.0,4.571778342768408
301.0,4.571778013035979
302.0,4.571777694467529
303.0,4.57177738663187
304.0,4.571777089116035
305.0,4.571776801524382
306.0,4.571776523477882
307.0,4.571776254613248
308.0,4.571775994582247
309.0,4.5717757430510595
310.0,4.571775499699531
311.0,4.571775264220638
312.0,4.571775036319821
313.0,4.571774815714543
314.0,4.571774602133615
315.0,4.571774395316813
316.0,4.5717741950143305
317.0,4.57177400098637
318.0,4.571773813002651
319.0,4.571773630842084
320.0,4.571773454292288
321.0,4.571773283149285
322.0,4.571773117217111
323.0,4.571772956307476
324.0,4.57177280023947
325.0,4.5717726488392385
326.0,4.571772501939651
327.0,4.5717723593801045
328.0,4.571772221006166
329.0,4.571772086669392
330.0,4.571771956227032
331.0,4.571771829541819
332.0,4.5717717064817425
333.0,4.5717715869198425
334.0,4.571771470733991
335.0,4.571771357806682
336.0,4.57177124802492
337.0,4.571771141279928
338.0,4.571771037467097
339.0,4.57177093648574
340.0,4.571770838238932
341.0,4.571770742633416
342.0,4.571770649579424
343.0,4.571770558990543
344.0,4.571770470783588
345.0,4.571770384878481
346.0,4.571770301198087
347.0,4.571770219668183
348.0,4.57177014021728
349.0,4.5717700627764915
350.0,4.571769987279524
351.0,4.571769913662493
352.0,4.571769841863888
353.0,4.571769771824439
354.0,4.571769703487059
355.0,4.571769636796717
356.0,4.571769571700427
357.0,4.571769508147106
358.0,4.571769446087549
359.0,4.571769385474302
360.0,4.571769326261678
361.0,4.5717692684056015
362.0,4.571769211863609
363.0,4.571769156594719
364.0,4.571769102559486
365.0,4.571769049719845
366.0,4.571768998039088
367.0,4.571768947481832
368.0,4.571768898013929
369.0,4.571768849602487
370.0,4.571768802215731
371.0,4.571768755823046
#### 2 ####,#### 2 ####
373.0,4.5884714438981264
374.0,4.58844323065046
375.0,4.588440214987929
376.0,4.58843901779816
377.0,4.588438250063763
378.0,4.588437645199528
379.0,4.588437122038468
380.0,4.588436648292697
381.0,4.588436208584977
382.0,4.588435794546276
383.0,4.588435401123227
384.0,4.58843502500183
385.0,4.58843466386016
386.0,4.5884343159830765
387.0,4.58843398004855
388.0,4.588433655002243
389.0,4.588433339979828
390.0,4.588433034256698
391.0,4.588432737214177
392.0,4.588432448315955
393.0,4.588432167091155
394.0,4.588431893122106
395.0,4.58843162603486
396.0,4.588431365492067
397.0,4.588431111187376
398.0,4.58843086284096
399.0,4.588430620195875
400.0,4.58843038301527
401.0,4.5884301510797565
402.0,4.588429924185528
403.0,4.588429702142632
404.0,4.588429484773433
405.0,4.588429271911443
406.0,4.588429063400299
407.0,4.588428859092676
408.0,4.58842865884963
409.0,4.58842846253978
410.0,4.58842827003873
411.0,4.5884280812285
412.0,4.5884278959970235
413.0,4.588427714237713
414.0,4.588427535848988
415.0,4.588427360734074
416.0,4.588427188800492
417.0,4.5884270199599175
418.0,4.58842685412783
419.0,4.588426691223287
420.0,4.5884265311686745
421.0,4.588426373889551
422.0,4.588426219314474
423.0,4.588426067374736
424.0,4.588425918004342
425.0,4.588425771139669
426.0,4.588425626719568
427.0,4.588425484685044
428.0,4.5884253449792105
429.0,4.588425207547206
430.0,4.588425072336116
431.0,4.588424939294736
432.0,4.588424808373664
433.0,4.588424679525058
434.0,4.588424552702718
435.0,4.588424427861905
436.0,4.588424304959244
437.0,4.588424183952789
438.0,4.588424064801857
439.0,4.588423947467017
440.0,4.588423831910033
441.0,4.588423718093785
442.0,4.588423605982285
443.0,4.588423495540527
444.0,4.588423386734554
445.0,4.588423279531394
446.0,4.5884231738989385
447.0,4.588423069806011
448.0,4.588422967222293
449.0,4.588422866118265
450.0,4.5884227664652215
451.0,4.58842266823523
452.0,4.58842257140109
453.0,4.588422475936261
454.0,4.588422381814964
455.0,4.588422289012023
456.0,4.5884221975029424
457.0,4.588422107263786
458.0,4.588422018271308
459.0,4.58842193050268
460.0,4.5884218439358335
461.0,4.588421758549074
462.0,4.588421674321283
463.0,4.588421591231858
464.0,4.588421509260678
465.0,4.588421428388055
466.0,4.588421348594831
467.0,4.588421269862245
468.0,4.588421192171937
469.0,4.588421115506021
470.0,4.588421039847006
471.0,4.588420965177743
472.0,4.588420891481511
473.0,4.588420818741966
474.0,4.588420746943076
475.0,4.588420676069198
476.0,4.588420606105005
477.0,4.5884205370354945
478.0,4.588420468846005
479.0,4.588420401522198
480.0,4.588420335049961
481.0,4.588420269415576
482.0,4.5884202046055345
483.0,4.588420140606637
484.0,4.588420077405961
485.0,4.588420014990848
486.0,4.5884199533488745
487.0,4.588419892467849
488.0,4.5884198323358865
489.0,4.588419772941315
490.0,4.588419714272667
491.0,4.588419656318723
492.0,4.58841959906845
493.0,4.588419542511106
494.0,4.588419486636066
495.0,4.588419431432946
496.0,4.588419376891634
497.0,4.588419323002059
498.0,4.588419269754481
499.0,4.588419217139247
500.0,4.588419165146981
501.0,4.58841911376836
502.0,4.5884190629943395
503.0,4.5884190128160105
504.0,4.588418963224575
505.0,4.588418914211473
506.0,4.588418865768287
507.0,4.588418817886692
508.0,4.58841877055859
509.0,4.588418723775983
510.0,4.588418677531009
#### 1 ####,#### 1 ####
512.0,4.592615514277416
513.0,4.592612098597097
514.0,4.592611768449838
515.0,4.592611666908294
516.0,4.592611615846761
